,date,eclipse_type,magnitude,region,day,month,year,duration_min,duration_sec,duration_total
357,02-28-2063,Annular,0.929,australia,28,2,2063,7,41,461
358,08-24-2063,Total,1.075,asia,24,8,2063,5,49,349
359,02-17-2064,Annular,0.926,africa,17,2,2064,8,56,536
359,02-17-2064,Annular,0.926,asia,17,2,2064,8,56,536
360,08-12-2064,Total,1.049,antarctica,12,8,2064,4,28,268
361,02-05-2065,Partial,0.912,europe,5,2,2065,4,30,270
363,08-02-2065,Partial,0.49,antarctica,2,8,2065,4,30,270
363,08-02-2065,Partial,0.49,africa,2,8,2065,4,30,270
364,12-27-2065,Partial,0.877,antarctica,27,12,2065,4,30,270
364,12-27-2065,Partial,0.877,australia,27,12,2065,4,30,270
365,06-22-2066,Annular,0.943,north america,22,6,2066,4,40,280
366,12-17-2066,Total,1.042,australia,17,12,2066,3,14,194
366,12-17-2066,Total,1.042,antarctica,17,12,2066,3,14,194
368,12-06-2067,Hybrid,1.001,africa,6,12,2067,4,8,248
369,05-31-2068,Total,1.011,australia,31,5,2068,1,6,66
369,05-31-2068,Total,1.011,antarctica,31,5,2068,1,6,66
370,11-24-2068,Partial,0.911,north america,24,11,2068,4,30,270
371,04-21-2069,Partial,0.899,europe,21,4,2069,4,30,270
371,04-21-2069,Partial,0.899,asia,21,4,2069,4,30,270
371,04-21-2069,Partial,0.899,north america,21,4,2069,4,30,270
372,05-20-2069,Partial,0.088,south america,20,5,2069,4,30,270
372,05-20-2069,Partial,0.088,antarctica,20,5,2069,4,30,270
373,10-15-2069,Partial,0.53,antarctica,15,10,2069,4,30,270
374,04-11-2070,Total,1.047,asia,11,4,2070,4,4,244
374,04-11-2070,Total,1.047,north america,11,4,2070,4,4,244
375,10-04-2070,Annular,0.973,africa,4,10,2070,2,44,164
375,10-04-2070,Annular,0.973,antarctica,4,10,2070,2,44,164
375,10-04-2070,Annular,0.973,australia,4,10,2070,2,44,164
376,03-31-2071,Annular,0.992,south america,31,3,2071,4,52,292
376,03-31-2071,Annular,0.992,africa,31,3,2071,4,52,292
376,03-31-2071,Annular,0.992,antarctica,31,3,2071,4,52,292
377,09-23-2071,Total,1.033,africa,23,9,2071,3,11,191
378,03-19-2072,Partial,0.72,antarctica,19,3,2072,4,30,270
378,03-19-2072,Partial,0.72,south america,19,3,2072,4,30,270
379,09-12-2072,Total,1.056,europe,12,9,2072,3,13,193
379,09-12-2072,Total,1.056,asia,12,9,2072,3,13,193
380,02-07-2073,Partial,0.677,asia,7,2,2073,4,30,270
380,02-07-2073,Partial,0.677,north america,7,2,2073,4,30,270
381,08-03-2073,Total,1.029,south america,3,8,2073,2,29,149
381,08-03-2073,Total,1.029,antarctica,3,8,2073,2,29,149
382,01-27-2074,Annular,0.98,africa,27,1,2074,2,21,141
382,01-27-2074,Annular,0.98,asia,27,1,2074,2,21,141
383,07-24-2074,Annular,0.984,asia,24,7,2074,1,57,117
383,07-24-2074,Annular,0.984,australia,24,7,2074,1,57,117
384,01-16-2075,Total,1.031,south america,16,1,2075,2,42,162
384,01-16-2075,Total,1.031,antarctica,16,1,2075,2,42,162
385,07-13-2075,Annular,0.947,europe,13,7,2075,4,45,285
385,07-13-2075,Annular,0.947,asia,13,7,2075,4,45,285
385,07-13-2075,Annular,0.947,africa,13,7,2075,4,45,285
386,01-06-2076,Total,1.034,antarctica,6,1,2076,1,49,109
386,01-06-2076,Total,1.034,australia,6,1,2076,1,49,109
386,01-06-2076,Total,1.034,south america,6,1,2076,1,49,109
387,06-01-2076,Partial,0.29,south america,1,6,2076,4,30,270
387,06-01-2076,Partial,0.29,antarctica,1,6,2076,4,30,270
388,07-01-2076,Partial,0.275,north america,1,7,2076,4,30,270
389,11-26-2076,Partial,0.731,africa,26,11,2076,4,30,270
389,11-26-2076,Partial,0.731,europe,26,11,2076,4,30,270
390,05-22-2077,Total,1.029,australia,22,5,2077,2,54,174
390,05-22-2077,Total,1.029,antarctica,22,5,2077,2,54,174
393,11-04-2078,Annular,0.926,antarctica,4,11,2078,8,29,509
394,05-01-2079,Total,1.051,europe,1,5,2079,2,55,175
394,05-01-2079,Total,1.051,africa,1,5,2079,2,55,175
394,05-01-2079,Total,1.051,asia,1,5,2079,2,55,175
395,10-24-2079,Annular,0.948,antarctica,24,10,2079,3,39,219
395,10-24-2079,Annular,0.948,south america,24,10,2079,3,39,219
396,03-21-2080,Partial,0.873,antarctica,21,3,2080,4,30,270
396,03-21-2080,Partial,0.873,africa,21,3,2080,4,30,270
397,09-13-2080,Partial,0.874,north america,13,9,2080,4,30,270
397,09-13-2080,Partial,0.874,europe,13,9,2080,4,30,270
397,09-13-2080,Partial,0.874,africa,13,9,2080,4,30,270
398,03-10-2081,Annular,0.93,south america,10,3,2081,7,36,456
398,03-10-2081,Annular,0.93,africa,10,3,2081,7,36,456
398,03-10-2081,Annular,0.93,antarctica,10,3,2081,7,36,456
399,09-03-2081,Total,1.072,africa,3,9,2081,5,33,333
399,09-03-2081,Total,1.072,europe,3,9,2081,5,33,333
399,09-03-2081,Total,1.072,asia,3,9,2081,5,33,333
400,02-27-2082,Annular,0.93,europe,27,2,2082,8,12,492
400,02-27-2082,Annular,0.93,africa,27,2,2082,8,12,492
401,08-24-2082,Total,1.045,australia,24,8,2082,4,1,241
401,08-24-2082,Total,1.045,antarctica,24,8,2082,4,1,241
404,08-13-2083,Partial,0.615,south america,13,8,2083,4,30,270
404,08-13-2083,Partial,0.615,antarctica,13,8,2083,4,30,270
405,01-07-2084,Partial,0.872,antarctica,7,1,2084,4,30,270
405,01-07-2084,Partial,0.872,south america,7,1,2084,4,30,270
406,07-03-2084,Annular,0.942,asia,3,7,2084,4,25,265
406,07-03-2084,Annular,0.942,north america,3,7,2084,4,25,265
407,12-27-2084,Total,1.04,africa,27,12,2084,3,4,184
407,12-27-2084,Total,1.04,antarctica,27,12,2084,3,4,184
407,12-27-2084,Total,1.04,australia,27,12,2084,3,4,184
408,06-22-2085,Annular,0.97,asia,22,6,2085,3,29,209
408,06-22-2085,Annular,0.97,australia,22,6,2085,3,29,209
409,12-16-2085,Annular,0.997,australia,16,12,2085,4,19,259
409,12-16-2085,Annular,0.997,north america,16,12,2085,4,19,259
410,06-11-2086,Total,1.017,south america,11,6,2086,1,48,108
410,06-11-2086,Total,1.017,africa,11,6,2086,1,48,108
411,12-06-2086,Partial,0.927,asia,6,12,2086,4,30,270
412,05-02-2087,Partial,0.801,north america,2,5,2087,4,30,270
413,06-01-2087,Partial,0.215,australia,1,6,2087,4,30,270
414,10-26-2087,Partial,0.47,south america,26,10,2087,4,30,270
414,10-26-2087,Partial,0.47,antarctica,26,10,2087,4,30,270
415,04-21-2088,Total,1.047,north america,21,4,2088,3,58,238
415,04-21-2088,Total,1.047,africa,21,4,2088,3,58,238
415,04-21-2088,Total,1.047,europe,21,4,2088,3,58,238
415,04-21-2088,Total,1.047,asia,21,4,2088,3,58,238
416,10-14-2088,Annular,0.973,south america,14,10,2088,2,38,158
416,10-14-2088,Annular,0.973,antarctica,14,10,2088,2,38,158
416,10-14-2088,Annular,0.973,africa,14,10,2088,2,38,158
417,04-10-2089,Annular,0.992,australia,10,4,2089,4,53,293
417,04-10-2089,Annular,0.992,antarctica,10,4,2089,4,53,293
417,04-10-2089,Annular,0.992,north america,10,4,2089,4,53,293
418,10-04-2089,Total,1.033,asia,4,10,2089,3,14,194
418,10-04-2089,Total,1.033,australia,4,10,2089,3,14,194
419,03-31-2090,Partial,0.784,antarctica,31,3,2090,4,30,270
419,03-31-2090,Partial,0.784,australia,31,3,2090,4,30,270
420,09-23-2090,Total,1.056,north america,23,9,2090,3,36,216
420,09-23-2090,Total,1.056,europe,23,9,2090,3,36,216
420,09-23-2090,Total,1.056,africa,23,9,2090,3,36,216
421,02-18-2091,Partial,0.656,europe,18,2,2091,4,30,270
421,02-18-2091,Partial,0.656,asia,18,2,2091,4,30,270
422,08-15-2091,Total,1.022,australia,15,8,2091,1,38,98
422,08-15-2091,Total,1.022,antarctica,15,8,2091,1,38,98
423,02-07-2092,Annular,0.984,europe,7,2,2092,1,48,108
423,02-07-2092,Annular,0.984,africa,7,2,2092,1,48,108
424,08-03-2092,Annular,0.979,africa,3,8,2092,2,31,151
425,01-27-2093,Total,1.034,australia,27,1,2093,2,58,178
425,01-27-2093,Total,1.034,antarctica,27,1,2093,2,58,178
426,07-23-2093,Annular,0.946,europe,23,7,2093,5,11,311
426,07-23-2093,Annular,0.946,africa,23,7,2093,5,11,311
426,07-23-2093,Annular,0.946,asia,23,7,2093,5,11,311
427,01-16-2094,Total,1.034,south america,16,1,2094,1,52,112
427,01-16-2094,Total,1.034,antarctica,16,1,2094,1,52,112
429,07-12-2094,Partial,0.422,north america,12,7,2094,4,30,270
429,07-12-2094,Partial,0.422,asia,12,7,2094,4,30,270
430,12-07-2094,Partial,0.705,north america,7,12,2094,4,30,270
431,06-02-2095,Total,1.033,africa,2,6,2095,3,18,198
432,11-27-2095,Annular,0.933,asia,27,11,2095,8,47,527
432,11-27-2095,Annular,0.933,australia,27,11,2095,8,47,527
433,05-22-2096,Total,1.074,asia,22,5,2096,6,6,366
433,05-22-2096,Total,1.074,australia,22,5,2096,6,6,366
433,05-22-2096,Total,1.074,north america,22,5,2096,6,6,366
434,11-15-2096,Annular,0.924,australia,15,11,2096,8,53,533
434,11-15-2096,Annular,0.924,antarctica,15,11,2096,8,53,533
435,05-11-2097,Total,1.054,asia,11,5,2097,3,10,190
435,05-11-2097,Total,1.054,north america,11,5,2097,3,10,190
436,11-04-2097,Annular,0.949,antarctica,4,11,2097,3,36,216
436,11-04-2097,Annular,0.949,australia,4,11,2097,3,36,216
437,04-01-2098,Partial,0.798,antarctica,1,4,2098,4,30,270
437,04-01-2098,Partial,0.798,south america,1,4,2098,4,30,270
438,09-25-2098,Partial,0.787,asia,25,9,2098,4,30,270
438,09-25-2098,Partial,0.787,north america,25,9,2098,4,30,270
440,03-21-2099,Annular,0.932,australia,21,3,2099,7,32,452
440,03-21-2099,Annular,0.932,antarctica,21,3,2099,7,32,452
440,03-21-2099,Annular,0.932,north america,21,3,2099,7,32,452
441,09-14-2099,Total,1.068,africa,14,9,2099,5,18,318
442,03-10-2100,Annular,0.934,australia,10,3,2100,7,29,449
442,03-10-2100,Annular,0.934,north america,10,3,2100,7,29,449
443,09-04-2100,Total,1.04,africa,4,9,2100,3,32,212
443,09-04-2100,Total,1.04,antarctica,4,9,2100,3,32,212
